,0,1,2,3,4
PROJECT_ID_0000,-0.1312317,-0.46099463,-0.5776178,0.92885447,0.31343722
PROJECT_ID_0001,-0.66707325,-0.58441406,-0.6165314,0.6248379,0.8675562
PROJECT_ID_0002,-0.117140576,-1.2031512,-0.8701894,-0.36539674,0.8220206
PROJECT_ID_0003,0.52991354,-0.30538446,-0.27778533,1.1289907,0.04594228
PROJECT_ID_0004,-0.25141084,-0.70783675,-0.6758884,1.1448642,0.04212902
PROJECT_ID_0005,0.07185368,-0.19434369,-0.5386625,0.5506546,0.78514403
PROJECT_ID_0006,0.27837327,0.08397884,0.5015999,1.2967335,0.7764486
PROJECT_ID_0007,0.32592082,-0.50633085,-0.5060206,-0.067850396,0.8476939
PROJECT_ID_0008,1.2638881,-0.13598123,0.36008164,0.6741598,0.44843704
PROJECT_ID_0009,-0.34194744,-0.16775472,-0.69338787,0.7435312,1.0374432
PROJECT_ID_0010,0.08631143,-0.6639122,-0.56771314,0.7188824,0.14846398
PROJECT_ID_0011,1.0138003,-0.940266,-0.8097765,0.79114866,-0.42119345
PROJECT_ID_0012,-0.028394228,-1.0594376,-0.1984004,-0.5087046,1.0795603
PROJECT_ID_0013,0.535635,-0.657908,-0.78977484,-0.18658048,0.7261109
PROJECT_ID_0014,0.31246912,0.026340796,-0.1811996,0.85574186,0.69078124
PROJECT_ID_0015,0.2761162,0.18247288,-0.2725089,1.0483704,0.77315813
PROJECT_ID_0016,-0.36575454,-0.40735495,0.24564503,1.1624088,0.56596994
PROJECT_ID_0017,0.121110775,-0.13091092,-0.33946913,0.55933964,0.80135083
PROJECT_ID_0018,-0.41751572,-0.24914856,-0.8149281,0.8003594,0.90073854
PROJECT_ID_0019,-0.42145646,-0.5186717,-0.9498338,0.1550037,1.2272133
PROJECT_ID_0020,-0.6417808,-0.5921707,-0.7538696,0.78790903,0.7021876
PROJECT_ID_0021,0.13348861,-0.41359115,-0.40580085,1.8435792,-0.1577972
PROJECT_ID_0022,0.5261277,-0.512425,-0.23055875,1.2755259,-0.21758465
PROJECT_ID_0023,-0.15225667,-0.1821387,-0.776931,0.7885681,0.7577772
PROJECT_ID_0024,-0.47499257,-1.1181427,-0.6401834,0.66303045,0.18073982
PROJECT_ID_0025,-0.6259408,-0.6947268,0.7532835,1.6931763,0.5790795
PROJECT_ID_0026,-0.21237521,-1.6556199,-1.1739253,0.22000277,-0.028575644
PROJECT_ID_0027,-0.8102215,-1.189516,-0.90446454,0.9246238,0.22516228
PROJECT_ID_0028,-0.2755257,-1.0256681,0.61746395,1.0167565,0.17927438
PROJECT_ID_0029,-0.3816514,-1.5702142,0.38490623,0.85016376,-0.08802774
PROJECT_ID_0030,-0.47070023,-1.0483481,-0.0547609,1.0460174,0.047300175
PROJECT_ID_0031,-0.73032534,-0.87926185,-0.27789262,1.0986701,0.325389
PROJECT_ID_0032,-0.48876718,-0.78753597,-0.4114163,0.22951353,0.83247954
PROJECT_ID_0033,-0.9390531,-0.85887396,-0.11753515,0.49747437,1.0606872
PROJECT_ID_0034,-0.5579954,-0.8236669,-0.5122572,0.2503594,0.8453311
PROJECT_ID_0035,-0.8550392,-0.73716515,-0.034322128,0.17270046,1.552967
PROJECT_ID_0036,0.58230156,-1.7229509,0.48470947,0.91988367,-0.7055277
PROJECT_ID_0037,-0.8385537,-0.7340144,-0.049878772,0.18973848,1.5323467
PROJECT_ID_0038,-0.55188,-0.8495735,-0.09600423,0.61122954,0.5349005
PROJECT_ID_0039,-0.052341584,-1.0543162,-0.26391467,0.8350216,-0.14378953
PROJECT_ID_0040,0.0895353,-0.3493738,0.0574553,0.53120404,0.61614645
PROJECT_ID_0041,-0.08810903,-0.34555227,0.22683106,0.18218787,1.1936048
PROJECT_ID_0042,0.0011698614,-0.5018819,0.61919534,0.165464,1.1445855
PROJECT_ID_0043,0.08061878,-0.3734464,0.7744739,1.0915697,0.47554007
PROJECT_ID_0044,-0.7938358,-1.4855791,0.12643343,0.4751114,0.45453072
PROJECT_ID_0045,-0.3590602,-0.7981564,-0.38962522,0.6496984,0.3630032
PROJECT_ID_0046,-0.06453358,-1.1977068,0.36248654,-0.11177209,0.6427892
PROJECT_ID_0047,-0.074822485,-1.1880672,0.36294773,-0.094876945,0.6299828
PROJECT_ID_0048,-0.50258136,-0.7708053,-0.4833638,0.27457216,0.8200252
PROJECT_ID_0049,-0.9654066,-1.2032123,-0.32560152,0.62856996,0.63555306
PROJECT_ID_0050,-0.8689106,-0.68281645,-0.21285793,0.41533113,1.2609714
PROJECT_ID_0051,-0.33138868,-0.9064655,0.8129376,-0.031680483,1.4461921
PROJECT_ID_0052,-0.48954248,-1.1173674,-0.31618375,-0.08506926,0.920429
PROJECT_ID_0053,-0.75802624,-1.4362091,0.8866951,0.25316295,1.0664057
PROJECT_ID_0054,-0.77590036,-0.7951183,-0.40920007,0.73806065,0.68380064
PROJECT_ID_0055,-0.8370764,-0.7376514,-0.053454254,0.1869361,1.5155663
PROJECT_ID_0056,-1.0028013,-0.82802796,-0.38744482,0.32834536,1.284465
PROJECT_ID_0057,0.63895977,-0.12824625,1.1123763,0.5104225,1.2565682
PROJECT_ID_0058,0.5712312,-0.049214818,0.88073665,0.2798087,1.5002141
PROJECT_ID_0059,0.06496508,-0.17649081,0.5826347,0.038936272,1.9385132
PROJECT_ID_0060,-1.1137481,-1.454919,0.43683842,0.17967257,1.3628935
PROJECT_ID_0061,-0.81782717,-2.2356682,-0.5982772,-0.060980625,0.40519294
PROJECT_ID_0062,-0.1762719,-0.97781426,0.16002186,-0.45758402,1.3367774
PROJECT_ID_0063,0.1669425,-0.10575518,0.47824374,0.35361618,1.234348
PROJECT_ID_0064,-0.91057,-1.8672439,0.6397153,0.34907076,0.7195536
PROJECT_ID_0065,-0.53616244,-1.3863027,-0.35982093,-0.08309065,0.647735
PROJECT_ID_0066,-0.8573596,-1.4687526,0.10816646,0.16660573,0.8184797
PROJECT_ID_0067,-0.8067472,-1.1201769,0.051574208,0.068128146,1.159897
PROJECT_ID_0068,0.027000954,-0.35327712,0.96929467,1.0218836,0.74369097
PROJECT_ID_0069,0.3550394,-0.29039323,0.09496294,0.04110818,1.0147551
PROJECT_ID_0070,-0.057908513,-0.51109004,-0.20466863,0.90652287,0.254893
PROJECT_ID_0071,-0.3821818,-0.52264655,0.06444054,0.1586128,1.2162806
PROJECT_ID_0072,-0.41889146,-0.573963,0.11242513,0.13386121,1.2402713
PROJECT_ID_0073,0.049919035,-0.683324,-0.17696534,0.4910407,0.31168684
PROJECT_ID_0074,-0.4762288,-0.9341433,-0.024537327,0.59954935,0.42910442
PROJECT_ID_0075,-0.25051123,-0.46607766,0.5218417,0.8637332,0.65383095
PROJECT_ID_0076,0.24536373,-1.4870839,0.7320867,1.1904613,-0.45309162
PROJECT_ID_0077,-0.2570925,-1.0661937,-0.432723,1.2732673,-0.2971211
PROJECT_ID_0078,-0.44586137,-0.9672929,-0.2046776,0.375644,0.5251848
PROJECT_ID_0079,-0.0057972386,-0.710605,-0.17157893,0.45761532,0.35595208
PROJECT_ID_0080,-0.90379417,-1.4098059,-0.5192471,0.9041267,0.17563252
PROJECT_ID_0081,-0.82861817,-1.0950496,-0.5153354,0.7825906,0.39613605
PROJECT_ID_0082,0.67653257,-0.9627784,0.9594841,0.811646,-0.057624664
PROJECT_ID_0083,-0.38972604,-0.95225936,0.3673172,0.07533818,0.955507
PROJECT_ID_0084,-0.3145111,-0.451638,0.20451334,0.51520026,0.90195304
PROJECT_ID_0085,0.07826192,-0.39733166,-0.33590874,0.22372194,0.8246838
PROJECT_ID_0086,0.3991224,-0.25667906,-0.41974214,0.35715616,0.67002463
PROJECT_ID_0087,-0.56881636,-1.3479655,0.14673008,-0.580789,1.5711854
PROJECT_ID_0088,-0.10392122,-0.27901292,0.72476244,0.43178973,1.354034
PROJECT_ID_0089,-0.32792738,-1.1697718,0.113243766,0.23277807,0.45052463
PROJECT_ID_0090,-0.8545116,-1.2607324,-0.23817676,0.27418762,0.7754853
PROJECT_ID_0091,0.24742727,-1.025918,0.62145424,0.009258899,0.5574868
PROJECT_ID_0092,-0.10331458,-1.7935731,0.5851977,0.0155003285,0.26981705
PROJECT_ID_0093,0.5178936,-0.31069526,0.7339841,0.7112388,0.54707855
PROJECT_ID_0094,-0.682677,-1.2480009,-0.26634076,0.07248925,0.8196136
PROJECT_ID_0095,-0.6752719,-1.1353911,-0.19702232,0.107061334,0.88127846
PROJECT_ID_0096,-0.69625664,-0.6829947,-0.5405449,0.80593437,0.64856946
PROJECT_ID_0097,0.42515498,-0.108937785,0.89590156,0.3242256,1.4487804
PROJECT_ID_0098,-0.7949849,-0.6733562,-0.32597744,1.019045,0.61870515
PROJECT_ID_0099,-0.6087225,-1.3848822,-0.42041126,0.3411666,0.35049972
PROJECT_ID_0100,-0.31837723,-1.1143934,0.15783992,0.722155,0.13062465
PROJECT_ID_0101,0.21367218,-0.21995272,0.41850355,0.39698455,0.9469099
PROJECT_ID_0102,0.36521482,-0.20025934,0.35357064,0.049322292,1.2153951
PROJECT_ID_0103,-1.020954,-1.2282208,0.06137155,0.26672322,1.0519515
PROJECT_ID_0104,-0.64681697,-0.8461177,-0.32641914,0.3241086,0.913535
PROJECT_ID_0105,-0.883853,-1.495435,0.1453504,0.1582926,0.83948696
PROJECT_ID_0106,-0.8980179,-1.13378,-0.1971175,0.2797502,0.90820974
PROJECT_ID_0107,-0.5965479,-0.97728753,-0.62214017,0.25512442,0.75207466
PROJECT_ID_0108,-0.6410152,-0.95161235,-0.6644233,0.28491932,0.7751537
PROJECT_ID_0109,-0.1285466,-1.0631592,-0.499459,0.45625588,0.12081044
PROJECT_ID_0110,-0.6214743,-1.0009501,0.52442473,0.9251942,0.4763675
PROJECT_ID_0111,-0.7873721,-1.2619879,-0.46190023,0.9179665,0.14460482
PROJECT_ID_0112,0.21364684,-0.06762301,0.5408746,0.7291145,0.9339701
PROJECT_ID_0113,-0.19466408,-0.9892081,-0.34061494,0.22371893,0.44083625
PROJECT_ID_0114,0.24514607,-0.5041751,-0.29716623,-0.1624509,0.9912109
PROJECT_ID_0115,0.35160688,-0.7108288,-0.036732126,-0.3746738,1.0017531
PROJECT_ID_0116,-0.62187546,-1.0854044,-0.39432624,0.055356573,0.85871613
PROJECT_ID_0117,-0.58123255,-0.83957607,0.5410004,0.24734916,1.1710434
PROJECT_ID_0118,0.107829295,-1.4662627,0.6906411,-0.35398415,0.73636454
PROJECT_ID_0119,-0.92849874,-1.176763,0.115455166,0.238786,1.1143175
PROJECT_ID_0120,-0.5354956,-0.79682744,0.018871156,0.38498443,0.8160288
PROJECT_ID_0121,-0.6266843,-0.8557241,-0.25624,0.30151805,0.84644413
PROJECT_ID_0122,0.1270533,-0.76479363,-0.55161947,-0.060840532,0.6720492
PROJECT_ID_0123,-0.86203563,-0.86025774,-0.19301288,0.5207463,0.8799092
PROJECT_ID_0124,-1.0024068,-1.2246253,0.1668412,0.41892272,0.99593174
PROJECT_ID_0125,-0.46525976,-0.44873354,-0.22145167,0.37711832,1.0625153
PROJECT_ID_0126,-0.6882595,-0.97036445,-0.2140809,0.6936795,0.45588726
PROJECT_ID_0127,-0.432781,-0.4921403,0.16390802,0.6448156,0.82684624
PROJECT_ID_0128,0.42660373,-1.3812742,0.40201455,0.73792017,-0.37727365
PROJECT_ID_0129,-0.8278118,-1.2140782,-0.3219787,0.008764352,1.0550234
PROJECT_ID_0130,0.2480276,-0.5267712,-0.25098714,-0.078953765,0.8873062
PROJECT_ID_0131,-0.81396556,-1.0471703,0.098855406,0.41125637,0.87635225
PROJECT_ID_0132,0.18894711,-0.21629079,0.16555686,-0.06702625,1.4664034
PROJECT_ID_0133,0.39192298,-0.4681952,0.29739615,0.73628587,0.24600661
PROJECT_ID_0134,0.5790136,-0.39551994,0.23039562,0.53040725,0.351603
PROJECT_ID_0135,-0.2239176,-0.57063407,-0.3445127,0.39698848,0.6861296
PROJECT_ID_0136,0.25657642,-1.452,-0.0364224,0.66827434,-0.4187373
PROJECT_ID_0137,-0.24360146,-0.4912947,-0.32255283,0.31722572,0.8502218
PROJECT_ID_0138,-0.6329247,-0.7583755,-0.36548182,0.36729327,0.8535375
PROJECT_ID_0139,-0.65090245,-1.1078343,-0.39981627,0.081279024,0.8294111
PROJECT_ID_0140,-0.6483605,-0.9354553,0.631485,0.4854379,0.9664269
PROJECT_ID_0141,-0.15270318,-0.6604565,-0.17836937,0.065258935,0.8647383
PROJECT_ID_0142,-0.51474607,-1.0346557,-0.5982463,0.31829533,0.5248
PROJECT_ID_0143,-0.650142,-1.0998735,-0.4600336,0.16272528,0.74029225
PROJECT_ID_0144,-0.37196687,-0.58021724,-0.36190534,0.4507615,0.7486788
PROJECT_ID_0145,-0.0014211781,-0.6458052,-0.06012265,0.52832305,0.37857547
PROJECT_ID_0146,-0.5734811,-1.709774,-0.37148574,0.07014023,0.3418414
PROJECT_ID_0147,0.23055716,-0.38563958,0.5738888,0.21618494,0.9630869
PROJECT_ID_0148,-0.76333,-1.6370152,-0.09283093,0.47926188,0.26990074
PROJECT_ID_0149,-0.10701287,-0.6537788,-0.32366493,0.12230886,0.7511148
PROJECT_ID_0150,-0.5595152,-0.9325566,-0.43939674,0.1924335,0.7843755
PROJECT_ID_0151,-0.5371091,-0.90175223,-0.4193551,0.18318382,0.8136586
PROJECT_ID_0152,-0.5387303,-0.907536,-0.4067041,0.2187568,0.7787956
PROJECT_ID_0153,-0.9241027,-1.244933,-0.22186925,0.12190995,1.010857
PROJECT_ID_0154,0.4032474,-0.32177755,-0.14681815,0.16355649,0.7778823
PROJECT_ID_0155,-0.98197925,-1.2569103,0.062109426,0.25024506,1.0288346
PROJECT_ID_0156,-0.34303358,-0.68925285,0.31485286,0.4857875,0.7279081
PROJECT_ID_0157,-0.26899543,-0.9233555,-0.37515783,0.8225958,0.056303177
PROJECT_ID_0158,-0.3909825,-0.33365294,0.14106493,0.97198313,0.65159005
PROJECT_ID_0159,0.13356972,-0.68235046,0.17560937,0.64701265,0.21104702
PROJECT_ID_0160,-0.6381288,-1.0096785,-0.2970273,0.4281305,0.59233123
PROJECT_ID_0161,-0.67745477,-1.0852743,-0.33381188,0.37267494,0.5986665
PROJECT_ID_0162,-0.38362706,-0.7941671,0.9040653,1.1117055,0.5262256
PROJECT_ID_0163,-0.69564223,-0.84345084,-0.26185945,0.5790791,0.67315185
PROJECT_ID_0164,0.32601205,-0.72803724,0.2752496,0.13566658,0.50710124
PROJECT_ID_0165,-0.4138958,-0.78659755,-0.11953397,1.5303575,-0.044634312
PROJECT_ID_0166,-0.003772645,-0.7822142,-0.53219384,0.23581083,0.43037528
PROJECT_ID_0167,-0.01537773,-0.7955123,-0.54259205,0.25897563,0.41254255
PROJECT_ID_0168,-0.6784639,-0.9685259,-0.15910813,0.5308717,0.6145153
PROJECT_ID_0169,-0.2094965,-0.55173165,-0.0952582,0.68297887,0.4813212
PROJECT_ID_0170,-0.30014446,-0.8393945,0.84662336,0.7934691,0.56920666
PROJECT_ID_0171,-0.31679118,-0.9324108,-0.3822533,0.65659267,0.21646197
PROJECT_ID_0172,-0.10815126,-0.5569067,-0.37676936,0.546603,0.48129532
PROJECT_ID_0173,-0.07650431,-1.4754736,0.1510624,0.3150987,0.024234038
PROJECT_ID_0174,0.18413647,-0.6325995,-0.33833605,-0.10422066,0.8326622
PROJECT_ID_0175,0.3555387,-0.99130857,0.37906817,0.19983126,0.20118237
PROJECT_ID_0176,0.08538482,-0.31678298,0.38940623,0.5658936,0.7176513
PROJECT_ID_0177,0.38567865,-0.32830223,-0.14205271,0.15726763,0.779494
PROJECT_ID_0178,-0.6722267,-0.9906153,-0.18461488,-0.00046660446,1.1048423
PROJECT_ID_0179,-0.084515736,-1.1767662,-0.07195747,0.6496137,-0.064430855
PROJECT_ID_0180,-0.6148967,-1.1155616,-0.2447208,0.8500958,0.18745226
PROJECT_ID_0181,0.20214388,-1.9162657,0.16451189,0.6912579,-0.57560676
PROJECT_ID_0182,-0.263249,-1.2215365,-0.17267314,0.7296294,-0.065221466
PROJECT_ID_0183,-0.852408,-1.0300326,0.80711377,1.0059261,0.84290147
PROJECT_ID_0184,-0.00282237,-0.4755346,0.5949919,0.1598312,1.1503433
PROJECT_ID_0185,-0.53457767,-0.28981137,0.124587074,0.65900785,1.172559
PROJECT_ID_0186,0.124592714,-0.4502104,-0.23565984,0.30103627,0.65090215
